Community Area,Latitude,Longitude,Crime count
Rogers Park,42.0106,-87.6659,89
West Ridge,42,-87.6951,92
Uptown,41.9663,-87.6537,85
Lincoln Square,41.9699,-87.6885,34
North Center,41.9509,-87.6829,41
Lake View,41.9414,-87.6513,164
Lincoln Park,41.9255,-87.6458,113
Near North Side,41.8995,-87.6312,280
Edison Park,42.0054,-87.813,1
Norwood Park,41.9856,-87.8127,9
Jefferson Park,41.9719,-87.7604,30
Forest Glen,41.9793,-87.7585,7
North Park,41.9842,-87.713,13
Albany Park,41.9683,-87.7165,59
Portage Park,41.9537,-87.7688,65
Irving Park,41.9522,-87.7245,71
Dunning,41.9447,-87.799,19
Montclare,41.9319,-87.7989,9
Belmont Cragin,41.9311,-87.7658,134
Hermosa,41.9215,-87.731,89
Avondale,41.941,-87.7033,81
Logan Square,41.9217,-87.7016,261
Humboldt Park,41.9017,-87.7014,407
West Town,41.8958,-87.6697,366
Austin,41.8943,-87.7614,484
West Garfield Park,41.881,-87.7222,175
East Garfield Park,41.881,-87.7032,167
Near West Side,41.8807,-87.6611,337
North Lawndale,41.8612,-87.7132,218
South Lawndale,41.8447,-87.7051,219
Lower West Side,41.8502,-87.6696,151
Loop,41.8789,-87.6359,234
Near South Side,41.8474,-87.6167,50
Armour Square,41.8347,-87.6338,73
Douglas,41.8341,-87.6171,56
Oakland,41.8238,-87.6012,30
Fuller Park,41.8103,-87.6323,28
Grand Boulevard,41.8122,-87.617,93
Kenwood,41.8095,-87.5934,78
Washington Park,41.7938,-87.6176,62
Hyde Park,41.7943,-87.5907,103
Woodlawn,41.7801,-87.5934,81
South Shore,41.7608,-87.5742,264
Chatham,41.7401,-87.6131,262
Avalon Park,41.7464,-87.5853,37
South Chicago,41.7397,-87.5548,125
Burnside,41.7275,-87.5967,44
Calumet Heights,41.7264,-87.5703,4
Roseland,41.7109,-87.6317,85
Pullman,41.6895,-87.6062,178
South Deering,41.6838,-87.5645,15
East Side,41.7096,-87.535,55
West Pullman,41.6716,-87.6332,16
Riverdale,41.6595,-87.603,72
Hegewisch,41.656,-87.5451,27
Garfield Ridge,41.7942,-87.7708,7
Archer Heights,41.7995,-87.7247,38
Brighton Park,41.8194,-87.6989,36
McKinley Park,41.8316,-87.6722,99
Bridgeport,41.8361,-87.6511,38
New City,41.8087,-87.6533,38
West Elsdon,41.7956,-87.7226,202
Gage Park,41.795,-87.6964,21
Clearing,41.7775,-87.7645,54
West Lawn,41.7728,-87.7225,11
Chicago Lawn,41.7755,-87.6969,36
West Englewood,41.7733,-87.6678,120
Englewood,41.7796,-87.6453,145
Greater Grand Crossing,41.7656,-87.614,152
Ashburn,41.7471,-87.7122,192
Auburn Gresham,41.7441,-87.6568,61
Beverly,41.7197,-87.6766,200
Washington Heights,41.7156,-87.649,27
Mount Greenwood,41.693,-87.7027,74
Morgan Park,41.6893,-87.6706,7
Ohare,41.9786,-87.9048,3
Edgewater,41.9875,-87.6616,37
